Nitrogênio Foliar (g/kg),Fósforo(P) (mg/dm³),Potássio(K) (cmol c/dm³),Boro(B) (mg/dm³),Cálcio(Ca) (cmol c/dm³),Magnésio(Mg) (cmol c/dm³),Alumínio(Al) (cmol c/dm³),Sódio(Na) (cmol c/dm³),H+Al (cmol c/dm³),Zinco(Zn) (mg/dm³),Cobre(Cu) (mg/dm³),Manganês(Mn) (mg/dm³),PRNT do calcário
0.49,0.29,0.59,0.29,0.09,0.49,0.96,0.05,0.77,0.12,0.44,0.06,0.7
0.36,0.33,0.69,0.37,0.23,0.39,0.97,0.2,0.21,0.35,0.43,0.11,0.24
0.59,0.95,0.64,0.38,0.94,1.0,0.5,0.45,0.35,0.61,0.83,0.87,0.45
0.29,0.37,0.94,0.69,0.51,0.31,0.78,0.36,0.44,0.1,0.46,0.74,0.08
0.15,0.27,0.38,0.95,0.03,0.76,0.91,0.69,0.41,0.55,0.65,0.89,0.89
0.29,0.71,0.4,0.91,0.21,0.21,0.29,0.31,0.62,0.12,0.02,0.38,0.14
0.48,0.56,0.54,0.4,0.66,0.85,0.38,0.95,0.76,0.83,0.06,0.99,0.8
0.58,0.56,0.92,0.83,0.77,0.69,0.44,0.66,0.0,0.51,0.78,0.47,0.34
0.17,0.25,0.38,0.17,0.5,0.45,0.08,0.95,0.37,0.83,0.79,0.1,0.5
0.32,0.02,0.44,0.32,0.67,0.45,0.72,0.12,0.25,0.91,0.51,0.63,0.69
0.61,0.95,0.03,0.31,0.08,0.2,0.81,0.06,0.88,0.76,0.96,0.57,0.02
0.79,0.4,0.25,0.53,0.73,0.07,0.55,0.16,0.45,0.72,0.16,0.52,0.3
0.02,0.53,0.38,0.85,0.62,0.29,0.05,0.77,0.65,0.1,0.09,0.99,0.85
0.0,0.45,0.9,0.24,0.96,0.68,0.08,0.38,0.62,0.78,0.1,0.78,0.44
0.66,0.07,0.52,0.96,0.31,0.68,0.49,0.92,0.28,0.8,0.67,0.04,0.55
0.63,0.51,0.24,0.07,0.59,0.86,0.13,0.64,0.09,0.42,0.41,0.33,0.88
0.91,0.29,0.05,0.4,0.19,0.49,0.84,0.11,0.75,0.25,0.04,0.21,0.03
0.82,0.71,0.81,0.27,0.71,0.68,0.05,0.28,0.06,0.87,0.25,0.49,0.95
0.99,0.48,0.46,0.65,0.25,0.39,0.18,0.28,0.03,0.62,0.25,0.36,0.39
0.57,0.32,0.52,0.55,0.01,0.35,0.44,0.55,0.3,0.64,0.26,0.4,0.12
0.24,0.91,0.23,0.46,0.88,0.98,0.56,0.05,0.37,0.01,0.94,0.02,0.06
0.31,0.37,0.75,0.56,0.35,0.59,0.93,0.5,0.58,0.93,0.89,0.08,0.37
0.64,0.68,0.65,0.84,0.75,0.37,0.71,0.42,0.67,0.63,0.1,0.48,0.17
0.79,0.93,0.76,0.53,0.4,0.28,0.37,0.81,0.32,0.49,0.44,0.48,0.87
0.26,0.68,0.17,0.86,0.12,0.91,0.87,0.75,0.7,0.24,0.07,0.19,0.9
0.03,0.1,0.49,0.63,0.55,0.8,0.72,0.39,0.82,0.09,0.21,0.42,0.29
0.18,0.72,0.04,0.02,0.44,0.39,0.41,0.32,0.3,0.39,0.19,0.42,0.02
0.21,0.42,0.22,0.49,0.88,0.22,0.49,0.97,0.47,0.3,0.6,0.24,0.73
0.16,0.05,0.86,0.32,0.17,0.14,0.21,0.8,0.7,0.51,0.84,0.24,0.43
0.82,0.76,0.3,0.67,0.07,0.19,0.93,0.9,0.85,0.92,0.75,0.22,0.62
0.96,0.08,0.78,0.84,0.17,0.92,0.87,0.28,0.11,0.25,0.61,0.52,0.4
0.54,0.97,0.89,0.9,0.69,0.23,0.97,0.41,0.01,0.52,0.03,0.47,0.94
0.99,0.5,0.22,0.57,0.25,0.35,0.88,0.07,0.7,0.52,0.27,0.14,0.41
0.42,0.76,0.45,0.18,0.9,0.01,0.31,0.02,0.2,0.07,0.56,0.28,0.88
0.72,0.45,0.38,0.51,0.08,0.64,0.84,0.56,0.33,0.95,0.5,0.48,0.95
0.17,0.39,0.22,0.28,0.98,0.86,0.91,0.73,0.82,0.64,0.26,0.98,0.79
0.8,0.11,0.09,0.95,0.83,0.14,0.92,0.79,0.42,0.09,0.89,0.01,0.45
0.14,0.71,0.55,0.78,0.11,0.39,0.28,0.67,0.68,0.51,0.99,0.67,0.19
0.96,1.0,0.69,0.04,0.15,0.78,0.88,0.17,0.96,0.19,0.96,0.56,0.54
0.23,0.65,0.82,0.46,0.0,0.11,0.29,0.58,0.06,0.98,0.03,0.95,0.92
0.12,0.72,0.25,0.96,0.23,0.83,0.51,0.73,0.62,0.01,0.33,0.93,0.5
0.34,0.06,0.79,0.17,0.92,0.1,0.47,0.87,0.06,0.93,0.51,0.84,0.26
0.24,0.62,0.32,0.94,0.67,0.58,0.88,0.8,0.18,0.41,0.96,0.2,0.42
0.38,0.76,0.52,0.06,0.3,0.63,0.67,0.2,0.07,0.81,0.88,0.17,0.06
0.26,0.83,0.37,0.14,0.29,0.46,0.81,0.26,0.93,0.21,0.59,0.79,0.03
0.97,0.84,0.08,0.78,0.82,0.14,0.64,0.79,0.7,0.26,0.8,0.32,0.35
0.44,0.38,0.42,0.04,0.71,0.96,0.66,0.34,0.74,0.15,0.45,0.82,0.75
0.25,0.98,0.05,0.45,0.0,0.87,0.12,0.05,0.03,0.09,0.42,0.05,0.93
0.51,0.78,0.66,0.76,0.15,0.46,0.37,0.99,0.93,0.03,0.11,0.49,0.99
0.02,0.55,0.97,0.24,0.43,0.71,0.39,0.1,0.32,0.87,0.0,0.13,0.81
0.77,0.91,0.56,0.72,0.0,0.82,0.55,0.7,0.02,0.65,0.79,0.18,0.2
