Nitrogênio Foliar (g/kg),Fósforo(P) (mg/dm³),Potássio(K) (cmol c/dm³),Boro(B) (mg/dm³),Cálcio(Ca) (cmol c/dm³),Magnésio(Mg) (cmol c/dm³),Alumínio(Al) (cmol c/dm³),Sódio(Na) (cmol c/dm³),H+Al (cmol c/dm³),Zinco(Zn) (mg/dm³),Cobre(Cu) (mg/dm³),Manganês(Mn) (mg/dm³),"PRNT do calcário
",Classe
0.86,0.85,0.38,0.97,0.32,0.19,0.92,0.77,0.87,0.37,0.3,0.09,0.77,142
0.52,0.14,0.4,0.58,0.07,0.28,0.51,0.27,0.99,0.73,0.23,0.63,0.1,123
0.21,0.73,0.82,0.22,0.53,0.57,0.24,0.73,0.48,0.0,0.42,0.64,0.42,153
0.68,0.61,0.45,0.1,0.82,0.01,0.98,0.73,0.81,0.6,0.32,0.89,0.24,148
0.57,0.65,0.73,0.29,0.7,0.65,0.89,0.2,0.31,0.07,0.6,0.47,0.02,161
0.41,0.08,0.32,0.08,0.74,0.09,0.13,0.18,0.19,0.29,0.27,0.17,0.16,182
0.89,0.68,0.18,0.84,0.27,0.27,0.69,0.45,0.4,0.96,0.71,0.03,0.54,142
0.03,0.76,0.84,0.28,0.14,0.36,0.07,0.72,0.56,0.92,0.72,0.88,0.15,73
0.05,0.96,0.85,0.4,0.35,0.95,0.95,0.17,0.55,0.87,0.29,0.91,0.77,38
0.89,0.74,0.94,0.72,0.92,0.78,0.13,0.96,0.08,0.85,0.86,0.8,0.45,88
0.67,0.27,0.02,0.38,0.05,0.41,0.37,0.66,0.39,0.8,0.74,0.07,0.24,144
0.63,0.19,0.78,0.65,0.83,0.51,0.41,0.15,0.62,0.5,0.75,0.06,0.71,84
0.51,0.29,0.71,0.44,0.79,0.7,0.64,0.46,0.27,0.02,0.66,0.3,0.04,96
0.61,0.58,0.24,0.54,0.68,0.08,0.37,0.69,0.01,0.37,0.25,0.93,0.45,89
0.3,0.44,0.45,0.66,0.23,0.21,0.37,0.24,0.9,0.98,0.38,0.24,0.56,35
0.86,0.82,0.81,0.92,0.47,0.3,0.43,0.25,0.06,0.64,0.26,0.48,0.28,90
0.21,0.31,0.25,0.75,0.55,0.44,0.92,0.59,0.54,0.74,0.01,0.13,0.22,158
0.35,0.49,0.3,0.9,0.7,0.89,0.6,0.24,0.13,0.25,0.37,0.23,0.64,51
0.57,0.72,0.69,0.66,0.8,0.49,0.98,0.99,0.73,0.46,0.57,0.17,0.41,85
0.28,0.21,0.73,0.93,0.06,0.87,0.15,0.7,0.14,0.73,0.43,0.11,0.79,66
0.41,0.51,0.25,0.75,0.67,0.26,0.65,0.35,0.39,0.44,0.06,0.64,0.39,76
0.45,0.18,0.02,0.99,0.28,0.94,0.04,0.13,0.04,0.6,0.13,0.32,0.1,173
0.53,0.59,0.69,0.72,0.1,0.77,0.64,0.04,0.29,0.09,0.6,0.13,0.56,97
0.65,0.08,0.12,0.56,0.45,0.53,0.52,0.03,0.13,0.86,0.24,0.25,0.6,174
0.76,0.67,0.85,0.62,0.47,0.97,0.21,0.24,0.51,0.63,0.02,0.61,0.78,25
0.1,0.0,0.47,0.58,0.05,0.27,0.02,0.49,0.77,0.41,0.01,0.97,0.03,138
0.78,0.54,0.96,0.67,0.36,0.04,0.23,0.25,0.75,0.35,0.32,0.45,0.37,122
0.94,0.89,0.01,0.34,0.35,0.86,0.12,0.48,0.47,0.32,0.8,0.62,0.81,116
0.67,0.25,0.29,0.56,0.21,0.11,0.17,0.61,0.81,0.24,0.25,0.15,0.43,95
0.11,0.88,0.23,0.97,0.84,0.78,0.02,0.64,0.36,0.96,0.56,0.71,0.51,52
0.35,0.12,0.63,0.86,0.74,0.93,0.59,0.07,0.53,0.9,0.43,0.29,0.99,37
0.7,0.31,0.54,0.07,0.84,0.01,0.72,0.27,0.8,0.49,0.88,0.95,0.51,162
0.98,0.96,0.39,0.07,0.49,0.63,0.25,0.57,0.74,0.37,0.45,0.58,0.11,116
0.18,0.67,0.04,0.94,0.39,0.52,0.27,0.07,0.39,0.77,0.13,0.13,0.34,173
0.47,0.78,0.56,0.21,0.72,0.02,0.86,0.96,0.55,0.67,0.41,0.29,0.59,156
0.04,0.29,0.26,0.4,0.29,0.5,0.16,0.16,0.16,0.4,0.58,0.69,0.45,167
0.97,0.15,0.81,0.29,0.05,0.02,0.04,0.48,0.8,0.22,0.24,0.69,0.99,109
0.42,0.03,0.85,0.74,0.9,0.93,0.0,0.09,0.75,0.97,0.48,0.99,0.27,165
0.04,0.61,0.75,0.48,0.69,0.38,0.15,0.31,0.91,0.91,0.45,0.42,0.31,121
0.62,1.0,0.77,0.59,0.84,0.47,0.75,0.54,0.54,0.91,0.19,0.15,0.86,170
0.85,0.17,0.15,0.59,0.31,0.45,0.32,0.74,0.8,0.45,0.81,0.02,0.33,144
0.28,0.84,0.99,0.93,0.02,0.58,0.78,0.63,0.54,0.8,0.76,0.88,0.84,28
0.38,1.0,0.91,0.42,0.71,0.11,0.55,0.56,0.23,0.4,0.25,0.2,0.18,86
0.66,0.57,0.98,0.81,0.19,0.57,0.8,0.64,0.67,0.66,0.45,0.46,0.04,124
0.77,0.99,0.8,0.58,0.39,0.48,0.96,0.05,0.42,0.47,0.24,0.9,0.61,27
0.24,0.24,0.69,0.88,0.84,0.03,0.73,0.14,0.74,0.28,0.9,0.37,0.62,126
0.85,0.23,0.69,0.66,0.26,0.92,0.01,0.92,0.91,0.72,0.87,0.08,0.26,129
0.03,0.24,0.82,0.1,0.7,0.84,0.41,0.42,0.91,0.22,0.51,0.87,0.83,153
0.25,0.39,0.81,0.87,0.81,0.75,0.95,0.18,0.77,0.35,0.47,0.8,0.77,26
0.32,0.83,0.63,0.62,0.24,0.47,0.79,0.08,0.79,0.1,0.07,0.22,0.12,120
0.2,0.37,0.24,0.7,0.23,0.97,0.34,0.37,0.65,0.65,0.06,0.62,0.81,64
0.88,0.6,0.85,0.9,0.96,0.57,0.78,0.22,0.98,0.57,0.41,0.29,0.52,26
0.09,0.05,0.47,0.4,0.79,0.34,0.51,0.85,0.49,0.39,0.32,0.66,0.67,60
0.46,0.39,0.23,0.6,0.82,0.43,0.74,0.23,0.61,0.35,0.94,0.42,0.03,196
0.51,0.88,0.06,0.18,0.14,0.33,0.1,0.71,0.85,0.48,0.04,0.89,0.35,133
0.17,0.03,0.84,0.68,0.61,0.1,0.21,0.19,0.97,0.09,0.32,0.75,0.06,138
0.07,0.49,0.36,0.08,0.36,0.43,0.75,0.95,0.97,0.05,0.29,0.51,0.45,133
0.36,0.14,0.47,0.94,0.58,0.06,0.13,0.5,0.46,0.92,0.97,0.71,0.41,29
0.71,0.88,0.42,0.51,0.42,0.0,0.26,0.46,0.6,0.52,0.47,0.04,0.22,142
0.04,0.66,0.22,0.38,0.1,0.21,0.67,0.23,0.23,0.25,0.84,0.46,0.6,56
0.13,0.56,0.98,0.61,0.09,0.86,0.22,0.2,0.41,0.98,0.39,0.95,0.18,38
0.26,0.11,0.6,0.77,0.71,0.93,0.78,0.59,0.54,0.02,0.96,0.26,0.6,36
0.3,0.38,0.58,0.12,0.82,0.68,0.36,0.4,0.13,0.39,0.11,0.23,0.23,186
0.0,0.26,0.86,0.09,0.84,0.21,0.57,0.84,0.96,0.37,0.26,0.65,0.97,7
0.96,0.56,0.1,0.75,0.69,0.17,0.9,1.0,0.18,0.86,0.34,0.97,0.8,2
0.22,0.56,0.21,0.38,0.36,0.25,0.17,0.48,0.49,0.44,0.46,0.29,0.82,49
0.55,0.4,0.53,0.29,0.24,0.35,0.27,0.03,0.65,0.47,0.72,0.23,1.0,70
0.23,0.62,0.67,0.33,0.09,0.94,0.21,0.61,0.91,0.61,0.41,0.06,0.53,65
0.24,0.94,0.72,0.75,0.07,0.01,0.82,0.15,0.25,0.76,0.96,0.91,0.8,42
0.89,0.84,0.97,0.28,0.19,0.3,0.23,0.1,0.92,0.13,0.78,0.08,0.24,108
0.27,0.55,0.06,0.77,0.17,0.11,0.87,0.22,0.46,0.72,0.81,0.67,0.86,42
0.13,0.71,0.11,0.13,0.61,0.64,0.18,0.98,0.99,0.79,0.16,0.93,0.52,133
0.9,0.8,0.75,0.33,0.19,0.95,0.06,0.74,0.76,0.73,0.78,0.5,0.52,102
0.26,0.1,0.37,0.64,0.66,0.56,0.77,0.93,0.51,0.47,0.88,0.64,0.97,4
0.78,0.75,0.24,0.43,0.27,0.22,0.04,0.62,0.76,0.43,0.78,0.58,0.86,116
0.25,0.03,0.1,0.72,0.45,0.23,0.6,0.94,0.86,0.73,0.56,0.17,0.74,32
0.71,0.27,0.04,0.06,0.79,0.27,0.6,0.89,0.25,0.87,0.9,0.44,0.55,3
0.87,0.96,0.46,0.18,0.71,0.91,0.9,0.43,0.08,0.9,0.5,0.19,0.66,183
0.62,0.11,0.58,0.68,0.79,0.73,0.86,0.45,0.9,0.71,0.91,0.27,0.57,20
