class,lenght
52,3
6,4
716,1
404,2
366,2
537,1
448,2
89,1
130,2
67,1
13,6
564,4
315,4
895,1
586,1
330,4
807,2
364,1
235,1
739,3
69,2
277,3
806,3
230,1
900,3
851,2
753,2
323,1
696,1
363,3
50,1
155,1
718,1
891,1
527,1
144,3
616,2
598,1
631,2
888,3
15,4
483,2
569,1
830,2
872,4
164,2
450,5
314,1
725,3
487,3
488,1
154,3
300,3
871,4
391,1
383,2
601,5
542,3
275,2
444,1
853,2
890,3
724,2
669,3
651,4
421,3
148,2
175,1
457,1
630,2
120,2
672,2
810,4
652,1
528,1
611,1
751,3
264,3
222,2
881,4
520,1
677,2
78,3
195,1
409,4
284,4
773,3
894,1
237,3
197,1
4,5
93,2
743,1
25,4
111,1
191,2
823,1
141,2
471,1
96,3
455,1
597,4
545,2
437,1
19,5
829,2
162,2
206,1
406,2
287,4
485,2
324,1
534,3
783,2
203,1
7,2
641,2
458,2
493,3
439,2
543,1
446,3
23,1
399,1
359,2
245,2
201,2
26,4
886,4
768,3
325,2
498,1
885,3
579,3
502,1
614,1
746,1
142,1
136,1
218,1
349,5
166,1
825,3
761,3
137,1
835,1
548,2
650,2
8,1
723,2
737,3
547,3
688,3
600,1
571,2
186,3
338,1
74,1
776,2
28,4
143,1
563,1
622,1
880,2
258,1
671,1
61,5
114,1
30,6
562,2
251,1
711,2
413,2
270,3
326,2
441,3
451,3
570,3
31,1
679,3
532,2
519,2
228,1
550,2
461,1
875,1
892,4
799,1
395,1
221,2
353,3
654,3
454,2
171,1
523,1
71,2
676,2
328,1
678,2
721,2
85,2
306,4
46,1
312,1
208,2
463,1
135,1
204,1
836,1
337,2
500,3
640,1
426,2
243,2
94,4
38,1
256,2
132,2
102,2
877,2
17,1
475,2
712,1
238,2
213,2
670,1
131,1
27,2
183,1
360,2
785,1
624,1
613,2
510,3
35,1
628,2
200,1
706,1
210,3
849,2
893,3
173,3
127,2
378,1
530,1
727,2
427,2
180,2
896,3
345,1
412,2
524,3
401,2
356,2
682,1
361,4
156,3
695,2
249,1
196,1
664,4
116,2
604,2
795,2
681,1
462,1
385,2
394,2
540,2
467,1
400,1
726,1
633,1
2,3
329,2
590,4
320,1
521,2
480,1
288,1
316,2
694,1
268,1
837,2
368,1
194,1
705,2
185,1
750,2
416,2
504,1
808,2
122,2
634,2
229,1
199,1
466,1
754,2
313,1
279,1
517,1
790,1
883,2
764,1
10,3
340,1
843,1
331,2
745,1
876,4
128,2
700,1
190,1
637,2
189,2
18,2
577,3
403,2
188,2
167,1
841,1
145,2
840,3
436,2
757,4
608,1
878,2
691,2
793,1
443,2
576,1
159,2
20,2
658,1
794,1
123,1
581,1
271,3
246,1
778,1
749,1
267,2
722,1
233,2
192,1
595,2
387,2
468,1
469,1
65,1
24,1
869,1
636,2
319,1
273,1
301,3
815,1
290,1
261,2
21,3
831,3
32,1
150,3
181,2
747,1
327,1
599,1
874,1
482,1
76,4
653,2
309,1
626,1
781,3
816,1
240,4
214,1
769,1
305,1
558,2
897,3
202,1
758,1
398,1
553,1
661,3
393,1
445,1
84,2
660,2
674,3
294,2
346,2
884,2
198,2
811,2
390,2
34,1
741,1
720,3
369,2
572,1
358,1
9,4
833,1
456,1
495,1
491,2
506,1
585,1
105,2
805,1
424,1
357,2
647,1
165,1
680,1
684,1
551,1
713,2
511,2
733,2
453,1
283,1
873,1
792,1
541,1
184,1
796,2
514,1
257,1
182,2
594,2
352,1
826,1
225,2
119,1
1,3
683,1
715,1
473,1
481,1
193,1
780,2
668,1
639,1
367,2
898,1
281,3
899,2
220,1
339,2
415,1
667,1
5,1
260,1
176,1
717,2
113,1
168,1
791,2
438,1
756,1
334,1
770,1
302,1
207,2
217,1
11,2
844,1
109,2
405,1
42,1
649,2
582,1
420,2
170,1
525,2
610,2
75,1
499,1
342,1
39,1
539,1
765,1
882,1
250,1
297,1
789,1
858,1
430,2
832,1
846,1
508,2
3,1
617,1
615,1
589,1
740,2
827,1
81,1
820,1
371,1
227,1
735,1
464,1
211,1
303,1
879,2
161,1
627,1
380,1
282,1
88,1
37,1
90,1
507,1
224,1
821,1
702,1
289,1
72,1
459,1
241,1
573,2
121,1
642,1
223,1
834,1
423,1
263,1
625,1
505,1
87,1
474,1
377,1
775,1
552,1
478,1
91,1
178,1
497,1
14,1
556,1
646,1
139,1
618,1
889,1
92,1
232,1
555,1
402,1
435,1
344,1
388,1
486,2
788,1
730,1
117,1
554,1
100,2
687,1
407,1
321,2
318,1
151,1
866,1
690,1
531,1
774,1
310,2
82,1
731,1
108,1
134,1
295,1
147,1
561,1
848,1
248,1
742,1
373,1
133,1
